season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,instant,dteday,hr,season_label
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.3,0.4,0.8,0.2,331.0,654,985,1970-01-01 00:00:00.000000001,2011-01-01,1970-01-01 00:00:00.000000000,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.4,0.4,0.7,0.2,131.0,670,801,1970-01-01 00:00:00.000000002,2011-01-01,1970-01-01 00:00:00.000000001,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.4,0.2,120.0,1229,1349,1970-01-01 00:00:00.000000003,2011-01-01,1970-01-01 00:00:00.000000002,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.6,0.2,108.0,1454,1562,1970-01-01 00:00:00.000000004,2011-01-01,1970-01-01 00:00:00.000000003,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.4,0.2,82.0,1518,1600,1970-01-01 00:00:00.000000005,2011-01-01,1970-01-01 00:00:00.000000004,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.1,88.0,1518,1606,1970-01-01 00:00:00.000000006,2011-01-01,1970-01-01 00:00:00.000000005,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.5,0.2,148.0,1362,1510,1970-01-01 00:00:00.000000007,2011-01-01,1970-01-01 00:00:00.000000006,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.5,0.3,68.0,891,959,1970-01-01 00:00:00.000000008,2011-01-01,1970-01-01 00:00:00.000000007,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.1,0.1,0.4,0.35000000000000003,54.0,768,822,1970-01-01 00:00:00.000000009,2011-01-01,1970-01-01 00:00:00.000000008,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.2,41.0,1280,1321,1970-01-01 00:00:00.000000010,2011-01-01,1970-01-01 00:00:00.000000009,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.7,0.1,43.0,1220,1263,1970-01-01 00:00:00.000000011,2011-01-01,1970-01-01 00:00:00.000000010,
